v1,market_name,market_days,primary_mkt_day,county,sub_county,ward,location,sub_location,gpslatitude,gpslongitude,market_size,atleast_1_trader,traders_number,directions,comments
1,"Dorof","Wednesday","Wednesday","Bungoma","Kanduyi","sang'ala east","South Bukusu","mwihupo",.4532344,34.61382,"large","yes",35,,""
2,"Sang'alo","Tuesday","Tuesday","Bungoma","Kanduyi","sangal'o west","South Bukusu","sang'alo west",.517208,34.59291,"small","yes",1,,""
3,"Mechimeru","Thursday","Thursday","Bungoma","Kanduyi","sang'ati east","South Bukusu","mechimeru",.502338,34.64908,"small","yes",1,,""
4,"Ekitale","Monday","Monday","Bungoma","Kanduyi","sangal'o west","South Bukusu","sang'alo west",.555562,34.61244,"small","yes",1,,""
5,"Bulondo","Thursday","Thursday","Bungoma","Kanduyi","sangal'o west","South Bukusu","sang'alo west",.465262,34.57566,"tiny","no",0,,""
6,"Bukembe","Saturday","Saturday","Bungoma","Kanduyi","bukembe east","Bukembe","bukembe east",.6122883,34.65583,"medium","yes",4,,""
7,"Nandolia (Nzoia Factory)","None","None","Bungoma","Kanduyi","bukembe east","Bukembe","",,,"tiny","no",0,,"Workers are normally paid on Friday but it has no market day."
8,"Mabanga","None","None","Bungoma","Kanduyi","bukembe east","Bukembe","",,,"tiny","no",0,,""
9,"Bungoma town","None","None","Bungoma","Kanduyi","khalaba","Bungoma","township",.558949,34.56082,"small","yes",3,,""
10,"Mashambani","None","None","Bungoma","Kanduyi","khalaba","Bungoma","khalaba",.341505,34.33487,"small","yes",1,,""
11,"Chepkube","Friday","Friday","Bungoma","Kanduyi","khalaba","Bungoma","township",.559392,34.55996,"tiny","no",0,,""
12,"Mufutu","None","None","Bungoma","Kanduyi","township","Bungoma","",.39307,34.51258,"tiny","no",0,,""
13,"Kanduyi","None","None","Bungoma","Kanduyi","township","Bungoma","township",.35334,34.33114,"small","yes",1,,""
14,"Moi new/old","None","None","Bungoma","Kanduyi","township","Bungoma","",,,"tiny","no",0,,""
15,"Mayanja Bitunguu","Tuesday Saturday","Tuesday","Bungoma","Kanduyi","tuti/marakaru","Mayanja","marakaru",.6479074,34.51643,"large","yes",21,,""
16,"Tuuti","None","None","Bungoma","Kanduyi","tuti/marakaru","Mayanja","marakaru",,,"tiny","no",0,,""
17,"Kibabii","None","None","Bungoma","Kanduyi","tuti/marakaru","Mayanja","kibabii",,,"tiny","no",0,,""
18,"Marakaru","None","None","Bungoma","Kanduyi","tuti/marakaru","Mayanja","mararu",,,"tiny","no",0,,""
19,"Kimukungi","None","None","Bungoma","Kanduyi","tuti/marakaru","Mayanja","mararu",,,"tiny","no",0,,""
20,"Mateka","Monday/Thursday","Monday","Bungoma","bumula","mateka","bukusu","mateka",.536178,34.50004,"medium","yes",5,,""
21,"Myanga","Wednesday/Saturday","Wednesday","Bungoma","bumula","kimaetii","west bukusu","syombe",.5635826,34.39027,"large","yes",10,,""
22,"Kabula","Tuesday/Sunday","Tuesday","Bungoma","bumula","","","",.483603,34.52877,"small","yes",2,,""
23,"Nasianda","Friday/Tuesday","Tuesday","Bungoma","bumula","bumula","bumula","kimatuni",.493136,34.45164,"medium","yes",4,,""
24,"Mayanja(Kibuke)","Thursday/Sunday","Thursday","Bungoma","bumula","kibuke","west bukusu","mayanja",.5927076,34.49049,"medium","yes",4,,""
25,"Kimaeti","Friday","Friday","Bungoma","bumula","kimaeti","west bukusu","kimaeti",.603712,34.40695,"small","yes",1,,""
26,"Kimwanga","Tuesday","Tuesday","Bungoma","bumula","kimwanga","west bukusu","nakhwana",.597513,34.44321,"tiny","no",0,,""
27,"Misikhu","Sunday","Sunday","Bungoma","","Ndivisi","","",.7144998,34.75439,"Medium","Yes",4,,""
28,"Lugulu","Friday","Friday","Bungoma","","Mihuu","","",.6544652,34.75438,"Small","Yes",3,,""
29,"Ndivisi","None","None","Bungoma","","Ndivisi","","",.423902,34.48431,"Small","Yes",1,,""
30,"Lugusi","None","None","Bungoma","","Mihuu","","",.391981,34.4854,"Small","Yes",1,,""
31,"Mihuu","None","None","Bungoma","","Mihuu","","",.6261928,34.79478,"Small","Yes",1,,""
32,"Sango","Wednesday","Wednesday","Bungoma","Webuye East","Malaha","","",.589825,34.77886,"Small","Yes",1,,""
33,"MTC Line","None","None","Bungoma","","Mihuu","","",.364286,34.46097,"Small","Yes",1,,""
34,"Generation","None","None","Bungoma","","","","",,,"Tiny","No",0,,""
35,"Mukhuyu","None","None","Bungoma","","","","",,,"Tiny","No",0,,""
36,"Nabuyole","None","None","Bungoma","","","","",,,"Tiny","No",0,,""
37,"Furoyi","None","None","Bungoma","","","","",,,"Tiny","No",0,,""
38,"Namarambi","None","None","Bungoma","","","","",,,"Tiny","No",0,,""
39,"Makuselwa","None","None","Bungoma","","","","",,,"Tiny","No",0,,""
40,"Sipala","None","None","Bungoma","","","","",,,"Tiny","No",0,,""
41,"Misemwa","None","None","Bungoma","","","","",,,"Tiny","No",0,,""
42,"Lumuli","None","None","Bungoma","","","","",,,"Tiny","No",0,,""
43,"Nang'oto","None","None","Bungoma","","","","",.5944511,34.75025,"Tiny","No",0,,""
